GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierMatch,123,46,20,0,22,9,16,5,6,5
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer,138,3,30,0,30,1,18,1,3,1
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer.new FilenameFilter() {...},10,0,0,0,2,0,2,0,2,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,SwiftPackageManagerAnalyzer,127,22,16,0,35,5,15,3,7,3
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,HintAnalyzer,301,333,44,44,65,72,26,28,1,9
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,NvdCveAnalyzer,12,69,1,7,4,20,1,8,0,5
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,CpeSuppressionAnalyzer,0,12,0,0,0,5,0,5,0,5
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonDistributionAnalyzer,435,91,64,0,94,13,44,3,12,3
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundlerAnalyzer.new FilenameFilter() {...},14,0,0,0,2,0,2,0,2,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer.IdentifierConfidence,9,39,0,0,0,4,2,2,2,2
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer.ClassNameInformation,7,71,0,8,3,17,2,6,2,2
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyBundlingAnalyzer,399,530,123,103,95,98,91,44,5,17
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackage,148,42,30,0,15,18,18,12,3,12
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNuspecParser,12,97,4,6,3,16,4,4,0,3
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nuget,NuspecParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.exception,ScanAgentException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.exception,InitializationException,35,11,0,0,11,4,5,2,5,2
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.exception,DependencyNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.exception,H2DBLockException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.exception,NoDataException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.exception,ReportException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.exception,ExceptionCollection,159,51,6,4,47,13,16,4,12,3
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverShim,112,22,14,0,25,5,16,3,9,3
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseProperties,16,127,3,9,4,29,3,12,0,9
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader,169,33,10,0,32,11,7,4,2,4
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB,495,1437,37,143,115,365,35,88,2,31
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CorruptDatabaseException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB.PreparedStatementCveDb,5,233,0,0,0,23,1,3,1,3
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoadException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader.new PrivilegedAction() {...},23,0,0,0,2,0,2,0,2,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,ConnectionFactory,358,369,29,21,71,116,23,15,1,12
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,118,56,23,5,19,19,16,9,3,8
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,194,92,28,6,17,18,17,5,0,5
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,35,201,21,31,6,41,19,21,0,6
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,320,378,52,70,72,96,50,46,18,17
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,124,53,25,7,20,15,21,8,6,7
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,111,267,25,15,13,63,21,11,2,10
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.data.cpe,Fields,3,0,0,0,2,0,1,0,1,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Ant Task/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,312,20,64,0,52,20,38,0,5
